Unix Timestamp,Datetime,Date,Time,Transaction_ID,Television,Dryer,Oven,Refrigerator,Microwave,Line Voltage,Voltage,Apparent Power,Energy Consumption (kWh),Month,Day of the Week,Hour of the Day,Offloading Decision,Is Anomaly
1704130200,2024-01-01 20:30:00,2024-01-01,20:30:00,83,1,0,1,1,0,231.7,230.4,4100.0,1.1244,January,Monday,20,Local,0
1704131100,2024-01-01 20:45:00,2024-01-01,20:45:00,84,1,0,0,0,0,231.3,230.7,150.0,0.1,January,Monday,20,Local,0
1704132000,2024-01-01 21:00:00,2024-01-01,21:00:00,85,1,0,0,1,0,226.9,227.5,300.0,0.1,January,Monday,21,Local,0
1704132900,2024-01-01 21:15:00,2024-01-01,21:15:00,86,1,0,0,1,0,229.1,230.0,300.0,0.1,January,Monday,21,Local,0
1704133800,2024-01-01 21:30:00,2024-01-01,21:30:00,87,1,1,0,1,0,225.1,229.1,2800.0,0.9016,January,Monday,21,Local,0
1704134700,2024-01-01 21:45:00,2024-01-01,21:45:00,88,1,0,0,0,0,225.8,226.5,150.0,0.1,January,Monday,21,Local,0
1704135600,2024-01-01 22:00:00,2024-01-01,22:00:00,89,0,0,0,1,0,226.4,225.2,150.0,0.1,January,Monday,22,Local,0
1704136500,2024-01-01 22:15:00,2024-01-01,22:15:00,90,1,0,0,0,0,234.2,231.6,150.0,0.1,January,Monday,22,Local,0
1704137400,2024-01-01 22:30:00,2024-01-01,22:30:00,91,0,0,0,0,0,231.2,231.5,0.0,0.1,January,Monday,22,Local,0
1704138300,2024-01-01 22:45:00,2024-01-01,22:45:00,92,1,0,0,0,0,231.8,231.4,150.0,0.1,January,Monday,22,Local,0
1704139200,2024-01-01 23:00:00,2024-01-01,23:00:00,93,1,0,0,1,0,230.6,229.1,300.0,0.1,January,Monday,23,Local,0
1704140100,2024-01-01 23:15:00,2024-01-01,23:15:00,94,0,0,0,1,0,229.3,227.4,150.0,0.1,January,Monday,23,Local,0
1704141000,2024-01-01 23:30:00,2024-01-01,23:30:00,95,1,0,0,1,0,229.2,228.5,300.0,0.1,January,Monday,23,Local,0
1704141900,2024-01-01 23:45:00,2024-01-01,23:45:00,96,0,0,0,0,0,227.4,231.2,0.0,0.1,January,Monday,23,Local,0
1704142800,2024-01-02 00:00:00,2024-01-02,00:00:00,97,0,0,0,0,0,231.5,232.7,0.0,0.1,January,Tuesday,0,Local,0
1704143700,2024-01-02 00:15:00,2024-01-02,00:15:00,98,0,0,0,1,0,230.0,229.6,150.0,0.1,January,Tuesday,0,Local,0
1704144600,2024-01-02 00:30:00,2024-01-02,00:30:00,99,0,0,0,1,0,229.9,230.8,150.0,0.1,January,Tuesday,0,Local,0
1704145500,2024-01-02 00:45:00,2024-01-02,00:45:00,100,0,0,0,0,0,227.4,227.3,0.0,0.1,January,Tuesday,0,Local,0
1704146400,2024-01-02 01:00:00,2024-01-02,01:00:00,101,0,0,0,1,0,233.6,235.8,2150.0,0.6865,January,Tuesday,1,Local,0
1704147300,2024-01-02 01:15:00,2024-01-02,01:15:00,102,0,0,0,1,0,228.9,230.4,150.0,0.1,January,Tuesday,1,Local,0
1704148200,2024-01-02 01:30:00,2024-01-02,01:30:00,103,0,0,0,1,0,229.0,230.7,150.0,0.1,January,Tuesday,1,Local,0
1704149100,2024-01-02 01:45:00,2024-01-02,01:45:00,104,0,0,0,0,0,230.5,229.4,0.0,0.1,January,Tuesday,1,Local,0
1704150000,2024-01-02 02:00:00,2024-01-02,02:00:00,105,0,0,0,1,0,229.4,233.1,150.0,0.1,January,Tuesday,2,Local,0
1704150900,2024-01-02 02:15:00,2024-01-02,02:15:00,106,0,0,0,1,0,229.2,231.5,150.0,0.1,January,Tuesday,2,Local,0
1704151800,2024-01-02 02:30:00,2024-01-02,02:30:00,107,0,0,0,1,0,230.0,232.2,150.0,0.1,January,Tuesday,2,Local,0
1704152700,2024-01-02 02:45:00,2024-01-02,02:45:00,108,0,0,0,0,0,227.0,229.2,0.0,0.1,January,Tuesday,2,Local,0
1704153600,2024-01-02 03:00:00,2024-01-02,03:00:00,109,0,0,0,0,0,235.4,232.9,0.0,0.1,January,Tuesday,3,Local,0
1704154500,2024-01-02 03:15:00,2024-01-02,03:15:00,110,0,0,0,1,0,230.2,228.8,150.0,0.1,January,Tuesday,3,Local,0
1704155400,2024-01-02 03:30:00,2024-01-02,03:30:00,111,0,0,0,1,0,232.1,236.6,150.0,0.1,January,Tuesday,3,Local,0
1704156300,2024-01-02 03:45:00,2024-01-02,03:45:00,112,0,0,0,0,0,232.4,231.0,0.0,0.1,January,Tuesday,3,Local,0
1704157200,2024-01-02 04:00:00,2024-01-02,04:00:00,113,0,0,0,1,0,226.4,226.0,150.0,0.1,January,Tuesday,4,Local,0
1704158100,2024-01-02 04:15:00,2024-01-02,04:15:00,114,0,0,0,1,0,228.7,227.4,150.0,0.1,January,Tuesday,4,Local,0
1704159000,2024-01-02 04:30:00,2024-01-02,04:30:00,115,0,0,0,1,0,227.7,225.1,150.0,0.1,January,Tuesday,4,Local,0
1704159900,2024-01-02 04:45:00,2024-01-02,04:45:00,116,0,0,0,0,0,224.3,225.3,0.0,0.1,January,Tuesday,4,Local,0
1704160800,2024-01-02 05:00:00,2024-01-02,05:00:00,117,0,0,0,1,0,230.3,229.6,150.0,0.1,January,Tuesday,5,Local,0
1704161700,2024-01-02 05:15:00,2024-01-02,05:15:00,118,0,0,0,1,0,230.6,231.9,150.0,0.1,January,Tuesday,5,Local,0
1704162600,2024-01-02 05:30:00,2024-01-02,05:30:00,119,0,0,0,1,0,226.9,223.0,150.0,0.1,January,Tuesday,5,Local,0
1704163500,2024-01-02 05:45:00,2024-01-02,05:45:00,120,0,0,0,0,0,230.0,229.2,0.0,0.1,January,Tuesday,5,Local,0
1704164400,2024-01-02 06:00:00,2024-01-02,06:00:00,121,0,0,0,1,0,231.3,232.6,150.0,0.1,January,Tuesday,6,Local,0
1704165300,2024-01-02 06:15:00,2024-01-02,06:15:00,122,0,0,0,1,0,229.5,230.1,150.0,0.1,January,Tuesday,6,Local,0
1704166200,2024-01-02 06:30:00,2024-01-02,06:30:00,123,0,0,0,1,0,232.5,233.9,150.0,0.1,January,Tuesday,6,Local,0
1704167100,2024-01-02 06:45:00,2024-01-02,06:45:00,124,0,0,0,0,0,228.6,228.7,0.0,0.1,January,Tuesday,6,Local,0
1704168000,2024-01-02 07:00:00,2024-01-02,07:00:00,125,0,0,0,1,0,231.8,231.2,150.0,0.1,January,Tuesday,7,Local,0
1704168900,2024-01-02 07:15:00,2024-01-02,07:15:00,126,0,0,0,1,0,227.7,227.5,150.0,0.1,January,Tuesday,7,Local,0
1704169800,2024-01-02 07:30:00,2024-01-02,07:30:00,127,0,0,0,1,0,228.5,230.8,150.0,0.1,January,Tuesday,7,Local,0
1704170700,2024-01-02 07:45:00,2024-01-02,07:45:00,128,0,0,0,0,0,235.0,235.8,0.0,0.1,January,Tuesday,7,Local,0
1704171600,2024-01-02 08:00:00,2024-01-02,08:00:00,129,0,0,0,0,0,231.5,234.9,0.0,0.1,January,Tuesday,8,Local,0
1704172500,2024-01-02 08:15:00,2024-01-02,08:15:00,130,1,0,0,1,0,229.7,227.3,300.0,0.1,January,Tuesday,8,Local,0
1704173400,2024-01-02 08:30:00,2024-01-02,08:30:00,131,1,1,0,1,1,233.8,236.2,4000.0,1.2723,January,Tuesday,8,Local,0
1704174300,2024-01-02 08:45:00,2024-01-02,08:45:00,132,1,0,0,0,0,228.9,227.5,150.0,0.1,January,Tuesday,8,Local,0
1704175200,2024-01-02 09:00:00,2024-01-02,09:00:00,133,0,0,1,1,0,231.6,227.5,3150.0,1.0213,January,Tuesday,9,Local,0
1704176100,2024-01-02 09:15:00,2024-01-02,09:15:00,134,0,0,0,1,0,231.5,231.3,150.0,0.1,January,Tuesday,9,Local,0
1704177000,2024-01-02 09:30:00,2024-01-02,09:30:00,135,0,1,0,1,0,223.0,218.8,2650.0,0.7638,January,Tuesday,9,Local,0
1704177900,2024-01-02 09:45:00,2024-01-02,09:45:00,136,0,0,0,1,0,225.5,226.5,150.0,0.1,January,Tuesday,9,Local,0
1704178800,2024-01-02 10:00:00,2024-01-02,10:00:00,137,0,0,0,1,0,224.8,224.6,150.0,0.1,January,Tuesday,10,Local,0
1704179700,2024-01-02 10:15:00,2024-01-02,10:15:00,138,0,0,0,1,0,229.6,229.7,150.0,0.1,January,Tuesday,10,Local,0
1704180600,2024-01-02 10:30:00,2024-01-02,10:30:00,139,1,0,0,1,0,234.0,233.4,300.0,0.1,January,Tuesday,10,Local,0
1704181500,2024-01-02 10:45:00,2024-01-02,10:45:00,140,0,0,0,1,0,227.5,229.9,150.0,0.1,January,Tuesday,10,Local,0
1704182400,2024-01-02 11:00:00,2024-01-02,11:00:00,141,0,0,0,1,0,233.3,234.1,150.0,0.1,January,Tuesday,11,Local,0
1704183300,2024-01-02 11:15:00,2024-01-02,11:15:00,142,0,0,0,1,0,229.1,228.1,150.0,0.1,January,Tuesday,11,Local,0
1704184200,2024-01-02 11:30:00,2024-01-02,11:30:00,143,0,0,1,1,0,230.3,227.0,3150.0,0.9247,January,Tuesday,11,Local,0
1704185100,2024-01-02 11:45:00,2024-01-02,11:45:00,144,0,0,0,0,0,229.2,227.1,0.0,0.1,January,Tuesday,11,Local,0
1704186000,2024-01-02 12:00:00,2024-01-02,12:00:00,145,0,1,0,1,0,229.9,229.2,2650.0,0.9466,January,Tuesday,12,Local,0
1704186900,2024-01-02 12:15:00,2024-01-02,12:15:00,146,0,0,0,1,0,226.6,227.6,150.0,0.1,January,Tuesday,12,Local,0
1704187800,2024-01-02 12:30:00,2024-01-02,12:30:00,147,0,0,0,1,0,229.5,231.6,150.0,0.1,January,Tuesday,12,Local,0
1704188700,2024-01-02 12:45:00,2024-01-02,12:45:00,148,1,0,0,0,0,229.5,231.4,150.0,0.1,January,Tuesday,12,Local,0
1704189600,2024-01-02 13:00:00,2024-01-02,13:00:00,149,0,0,1,1,0,224.0,227.0,3150.0,0.784,January,Tuesday,13,Local,0
1704190500,2024-01-02 13:15:00,2024-01-02,13:15:00,150,0,0,0,1,0,229.4,226.2,150.0,0.1,January,Tuesday,13,Local,0
1704191400,2024-01-02 13:30:00,2024-01-02,13:30:00,151,0,0,0,1,0,230.2,231.2,150.0,0.1,January,Tuesday,13,Local,0
1704192300,2024-01-02 13:45:00,2024-01-02,13:45:00,152,1,0,0,0,0,228.7,228.3,150.0,0.1,January,Tuesday,13,Local,0
1704193200,2024-01-02 14:00:00,2024-01-02,14:00:00,153,0,0,0,0,0,229.1,231.0,0.0,0.1,January,Tuesday,14,Local,0
1704194100,2024-01-02 14:15:00,2024-01-02,14:15:00,154,0,0,0,1,0,224.3,224.3,150.0,0.1,January,Tuesday,14,Local,0
1704195000,2024-01-02 14:30:00,2024-01-02,14:30:00,155,0,0,0,1,0,233.5,237.2,150.0,0.1,January,Tuesday,14,Local,0
1704195900,2024-01-02 14:45:00,2024-01-02,14:45:00,156,1,0,0,0,1,234.9,236.9,2150.0,0.6512,January,Tuesday,14,Local,0
1704196800,2024-01-02 15:00:00,2024-01-02,15:00:00,157,0,1,0,1,1,228.4,229.8,3850.0,1.1379,January,Tuesday,15,Local,0
1704197700,2024-01-02 15:15:00,2024-01-02,15:15:00,158,0,0,0,1,0,229.2,230.6,150.0,0.1,January,Tuesday,15,Local,0
1704198600,2024-01-02 15:30:00,2024-01-02,15:30:00,159,0,0,1,1,1,232.3,236.0,4350.0,1.2381,January,Tuesday,15,Local,0
1704199500,2024-01-02 15:45:00,2024-01-02,15:45:00,160,1,0,0,0,0,228.5,229.4,150.0,0.1,January,Tuesday,15,Local,0
1704200400,2024-01-02 16:00:00,2024-01-02,16:00:00,161,0,0,0,1,0,225.5,221.7,150.0,0.1,January,Tuesday,16,Local,0
1704201300,2024-01-02 16:15:00,2024-01-02,16:15:00,162,0,0,0,1,0,232.3,233.1,150.0,0.1,January,Tuesday,16,Local,0
1704202200,2024-01-02 16:30:00,2024-01-02,16:30:00,163,0,0,0,1,0,229.9,228.7,150.0,0.1,January,Tuesday,16,Local,0
1704203100,2024-01-02 16:45:00,2024-01-02,16:45:00,164,0,0,0,0,0,230.3,229.5,0.0,0.2724,January,Tuesday,16,Local,1
1704204000,2024-01-02 17:00:00,2024-01-02,17:00:00,165,0,0,0,1,1,228.4,223.3,1350.0,0.4034,January,Tuesday,17,Local,0
1704204900,2024-01-02 17:15:00,2024-01-02,17:15:00,166,1,1,0,0,0,227.9,226.2,2650.0,0.668,January,Tuesday,17,Local,0
1704205800,2024-01-02 17:30:00,2024-01-02,17:30:00,167,0,1,1,0,0,234.9,233.5,7500.0,2.6524,January,Tuesday,17,Local,0
1704206700,2024-01-02 17:45:00,2024-01-02,17:45:00,168,0,0,1,0,0,231.5,230.7,3000.0,0.7482,January,Tuesday,17,Local,0
1704207600,2024-01-02 18:00:00,2024-01-02,18:00:00,169,1,1,1,1,0,235.0,237.1,5800.0,1.9947,January,Tuesday,18,Local,0
1704208500,2024-01-02 18:15:00,2024-01-02,18:15:00,170,1,0,1,1,0,233.9,235.1,3300.0,0.9869,January,Tuesday,18,Local,0
1704209400,2024-01-02 18:30:00,2024-01-02,18:30:00,171,1,0,0,1,0,230.5,233.0,300.0,0.1,January,Tuesday,18,Local,0
1704210300,2024-01-02 18:45:00,2024-01-02,18:45:00,172,1,0,0,0,0,233.8,234.7,150.0,0.1,January,Tuesday,18,Local,0
1704211200,2024-01-02 19:00:00,2024-01-02,19:00:00,173,1,0,0,0,1,225.5,227.7,1350.0,0.368,January,Tuesday,19,Local,0
1704212100,2024-01-02 19:15:00,2024-01-02,19:15:00,174,0,0,0,1,0,230.9,229.7,150.0,0.1,January,Tuesday,19,Local,0
1704213000,2024-01-02 19:30:00,2024-01-02,19:30:00,175,1,0,0,1,1,228.8,226.0,1500.0,0.4391,January,Tuesday,19,Local,0
1704213900,2024-01-02 19:45:00,2024-01-02,19:45:00,176,1,0,0,0,0,231.7,231.8,150.0,0.1,January,Tuesday,19,Local,0
1704214800,2024-01-02 20:00:00,2024-01-02,20:00:00,177,1,0,0,1,0,229.3,232.3,1100.0,0.3318,January,Tuesday,20,Local,0
1704215700,2024-01-02 20:15:00,2024-01-02,20:15:00,178,1,0,1,1,0,229.6,232.1,3300.0,0.8111,January,Tuesday,20,Local,0
1704216600,2024-01-02 20:30:00,2024-01-02,20:30:00,179,1,0,0,1,0,227.8,229.1,300.0,0.1,January,Tuesday,20,Local,0
1704217500,2024-01-02 20:45:00,2024-01-02,20:45:00,180,1,0,1,0,0,227.2,230.0,3150.0,0.9094,January,Tuesday,20,Local,0
1704218400,2024-01-02 21:00:00,2024-01-02,21:00:00,181,1,0,0,1,0,232.9,230.8,300.0,0.1,January,Tuesday,21,Local,0
1704219300,2024-01-02 21:15:00,2024-01-02,21:15:00,182,1,0,0,1,0,232.7,234.3,300.0,0.1,January,Tuesday,21,Local,0
1704220200,2024-01-02 21:30:00,2024-01-02,21:30:00,183,1,0,0,1,1,225.4,226.7,1500.0,0.5176,January,Tuesday,21,Local,0
1704221100,2024-01-02 21:45:00,2024-01-02,21:45:00,184,1,0,0,0,0,231.9,231.9,150.0,0.1,January,Tuesday,21,Local,0
1704222000,2024-01-02 22:00:00,2024-01-02,22:00:00,185,1,0,0,1,1,227.3,227.7,1500.0,0.433,January,Tuesday,22,Local,0
1704222900,2024-01-02 22:15:00,2024-01-02,22:15:00,186,1,0,0,1,0,232.6,233.6,300.0,0.1,January,Tuesday,22,Local,0
1704223800,2024-01-02 22:30:00,2024-01-02,22:30:00,187,1,0,0,0,0,231.3,233.0,150.0,0.1,January,Tuesday,22,Local,0
